position,artist,name
1561,Melanie C & Lisa 'Left Eye' Lopes,Never Be the Same Again
289,Men At Work,Down Under
1275,Men Without Hats,The Safety Dance
901,Meredith Brooks,Bitch
1958,Merril Bainbridge,Mouth
1732,Merrilee Rush,Angel of the Morning
3728,Merry Macs,Mairzy Doates
1318,Metallica,Until it Sleeps
3538,Metallica & Marianne Faithfull,The Memory Remains
1924,Metro Station,Shake It
1433,MFSB,TSOP (The Sound of Philadelphia)
4721,Mgmt,Kids
2371,MIA,Paper Planes
2696,Miami Sound Machine,Conga
2788,Michael Andrews & Gary Jules,Mad World
1408,Michael Bolton,How am I Supposed to Live Without You?
3301,Michael Buble,Everything
2957,Michael Damian,Rock On
25,Michael Jackson,Billie Jean
366,Michael Jackson & Janet Jackson,Scream
750,Michael Jackson & Siedah Garrett,I Just Can't Stop Loving You
4152,Michael Martin Murphey,Wildfire
3582,Michael McDonald,Sweet Freedom
986,Michael Sembello,Maniac
4643,Michael Zager Band,Let's All Chant
4516,Michel Telo,Ai se eu te pego!
4184,Michelle Branch,Are You Happy Now
4099,Mick Jagger,Just Another Night
1387,Middle of The Road,"Chirpy, Chirpy, Cheep, Cheep"
4748,Midge Ure,If I Was
1553,Midnight Oil,Beds Are Burning
1381,Miguel Rios,A Song Of Joy
647,Mika,Grace Kelly
716,Mike & The Mechanics,The Living Years
1231,Mike Oldfield,Moonlight Shadow
3167,Mike Posner,Cooler than me
3633,Mikis Theodorakis,Zorba The Greek
1851,Miley Cyrus,Wrecking Ball
4684,Milk & Honey,Hallelujah
712,Milli Vanilli,"Girl, I'm Gonna Miss You"
1203,Millie Small,My Boy Lollipop
3588,Mims,This Is Why I'm Hot
1309,Minnie Riperton,Loving You
4556,Mireille Mathieu,La Derniere Valse
3721,Miriam Makeba,Pata Pata
1133,Missy 'Misdemeanor' Elliott,Work It
4926,Mis-Teeq,Scandalous
1390,Mitch Miller,Yellow Rose of Texas
4559,Mitch Ryder & The Detroit Wheels,Devil With the Blue Dress
3747,Moby,Lift Me Up
3360,Mocedades,Eres Tu (Touch The Wind)
2331,Modern Talking,You're My Heart You're My Soul
1117,Modjo,Lady (Hear Me Tonight)
2882,Monica,The First Night
1804,Montell Jordan,This is How We Do It
4909,Monty Python,Always Look On the Bright Side of Life
1588,Morris Albert,Feelings
3223,Morris Stoloff,Moonglow & Theme From Picnic
3325,Mory Kante,Yeke Yeke
1093,Mouth & MacNeal,How Do You Do!
639,Mr Acker Bilk,Stranger On the Shore
286,Mr Big,To Be With You
1019,Mr Mister,Broken Wings
1973,Mr Oizo,Flat Beat
1165,Mr President,Coco Jamboo
2865,Mud,Tiger Feet
4355,Muddy Waters,Mannish Boy
58,Mungo Jerry,In the Summertime
616,Murray Head,One Night in Bangkok
484,Musical Youth,Pass the Dutchie
1340,My Chemical Romance,Welcome to the Black Parade
3393,Mya,Case Of The Ex (Whatcha Gonna Do)
306,N Sync,"Bye, Bye, Bye"
136,Nancy Sinatra,These Boots Are Made For Walking
472,Nancy Sinatra & Frank Sinatra,Somethin' Stupid
4671,Nancy Sinatra & Lee Hazlewood,Jackson
3237,NAS,If I Ruled the World
82,Nat King Cole,Mona Lisa
2921,Natalie Cole,Pink Cadillac
2109,Natalie Cole & Nat King Cole,Unforgettable
318,Natalie Imbruglia,Torn
1039,Natasha Bedingfield,These Words
3184,Naughty By Nature,OPP
801,Nazareth,Love Hurts
1064,Ned Miller,From a Jack to a King
611,Neil Diamond,Cracklin' Rosie
1043,Neil Sedaka,Oh Carol
464,Neil Young,Heart of Gold
717,Nelly,My Place
85,Nelly & Kelly Rowland,Dilemma
1167,Nelly & Tim McGraw,Over & Over
330,Nelly Furtado,Say It Right
266,Nelly Furtado & Timbaland,Promiscuous
1839,"Nelly, P Diddy & Murphy Lee",Shake Ya Tailfeather
2833,Nelson,(Can't Live Without Your) Love & Affection
4785,Nelson Eddy & Jo Stafford,With These Hands
3176,Nelson Riddle,Lisbon Antigua (In Old Lisbon)
353,Nena,99 Red Balloons
1674,Neneh Cherry,Buffalo Stance
4965,NERD,She Wants to Move
4527,New Edition,Candy Girl
862,New Kids On The Block,Step By Step
2414,New Order,Blue Monday
548,New Vaudeville Band,Winchester Cathedral
728,Next,Too Close
906,Ne-Yo,So Sick
3756,Nick Cave & The Bad Seeds & Kylie Minogue,Where the Wild Roses Grow
2346,Nick Gilder,Hot Child In The City
4591,Nick Kamen,I Promised Myself
3163,Nick Lachey,What's Left Of Me
4769,Nick Lucas,Tip Toe Thru' The Tulips With Me
100,Nickelback,How You Remind Me
1332,Nicki French,Total Eclipse of the Heart
3664,Nicki Minaj,Starships
4456,Nico & Vinz,Am I Wrong
4729,Nicolette Larson,Lotta Love
3967,Nik Kershaw,Wouldn't it Be Good
4900,Nina Simone,My Baby Just Cares For Me
1864,Nina Sky,Move Ya Body
884,Nini Rosso,Il Silenzio
3096,Nino Tempo & April Stevens,Deep Purple
156,Nirvana,Smells Like Teen Spirit
4499,Nitty Gritty Dirt Band,Mr Bojangles
51,No Doubt,Don't Speak
954,No Mercy,Where Do You Go?
3247,Nora Bayes,Over There
2156,Norah Jones,Don't Know Why
368,Norman Greenbaum,Spirit in the Sky
2636,Notorious BIG,Hypnotize
1402,Notorious BIG & P Diddy,Mo Money Mo Problems
1434,N-Trance & Ricardo Da Force,Stayin' Alive
2063,Nu Shooz,I Can't Wait
4982,O C Smith,Little Green Apples
357,Oasis,Wonderwall
3505,Obernkirchen Children's Choir,Happy Wanderer
1776,Ocean,Put Your Hand in the Hand
4325,Odyssey,Going Back to My Roots
3719,Of Monsters And Men,Little Talks
373,Offspring,Pretty Fly (For a White Guy)
2875,Ofra Haza,Im Nin'Alu
1496,Ohio Express,Yummy Yummy Yummy
3907,Ohio Players,Love Rollercoaster
2161,Oliver,Good Morning Starshine
178,Olivia Newton-John,(Let's Get) Physical
452,Olivia Newton-John & Electric Light Orchestra,Xanadu
793,OMC,How Bizarre
1743,One Direction,What Makes You Beautiful
2543,OneRepublic,All The Right Moves
1578,Opus,Live Is Life
2321,Oran 'Juice' Jones,The Rain
2686,Orchestral Manoeuvres In The Dark,Maid of Orleans (The Waltz Joan of Arc)
1827,Original Dixieland Jazz Band,Tiger Rag
331,Otis Redding,(Sittin' On) the Dock of the Bay
4489,O-Town,All Or Nothing
3534,Ottawan,Hands Up (Give Me Your Heart)
45,OutKast,Hey Ya!
4689,Outlandish,Aicha
1241,Owl City,Fireflies
2188,Owl City & Carly Rae Jepsen,Good Time
4272,Ozark Mountain Daredevils,Jackie Blue
572,O-Zone,Dragostea Din Tei
4905,Ozzy Osbourne,Dreamer
3811,P Diddy,Been Around the World
24,P Diddy & Faith Evans,I'll Be Missing You
1796,P Diddy & Jimmy Page,Come With Me
2645,P Diddy & Mase,Can't Nobody Hold Me Down
4063,P Diddy & Nicole Scherzinger,Come to Me
4183,P Diddy & R Kelly,Satisfy You
2068,"P Diddy, Usher & Loon",I Need a Girl (Part 1)
4509,Pacific Gas & Electric,Are You Ready?
2136,Panic! At the Disco,I Write Sins Not Tragedies
3482,Panjabi MC,Mundian to Bach Ke
957,Paper Lace,The Night Chicago Died
4768,Pappa Bear,Cherish
4374,Paramore,Misery Business
2372,Paris Hilton,Stars Are Blind
4951,Parliament,Flash Light
2389,Passenger,Let Her Go
1805,Pat Benatar,Love is a Battlefield
274,Pat Boone,Speedy Gonzales
267,Patrick Hernandez,Born to Be Alive
3085,Patrick Swayze,She's Like the Wind
1934,Patsy Cline,Crazy
4723,Patsy Montana & The Prairie Ramblers,I Want to Be a Cowboy's Sweetheart
2887,Patti Austin & James Ingram,"Baby, Come to Me"
561,Patti LaBelle,Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?)
1026,Patti LaBelle & Michael McDonald,On My Own
248,Patti Page,Tennessee Waltz
1663,Patti Smith & Don Henley,Sometimes Love Just Ain't Enough
3911,Patti Smith Group,Because the Night
447,Paul & Paula,Hey Paula
383,Paul Anka,Diana
627,Paul Hardcastle,19
985,Paul Mauriat & his Orchestra,Love Is Blue (L'Amour Est Bleu)
1024,Paul McCartney,Another Day
328,Paul McCartney & Michael Jackson,Say Say Say
128,Paul McCartney & Stevie Wonder,Ebony & Ivory
3816,Paul Revere & the Raiders,Indian Reservation (The Lament Of The Cherokee Reservation Indian)
2702,Paul Robeson,Ol' Man River
1396,Paul Simon,50 Ways to Leave Your Lover
4539,Paul Weston,Nevertheless (I'm in Love With You)
839,Paul Whiteman,Whispering
1349,Paul Young,Every Time You Go Away
710,Paula Abdul,Rush Rush
619,Paula Abdul & The Wild Pair,Opposites Attract
2621,Paula Cole,Where Have All the Cowboys Gone?
3064,Peabo Bryson & Roberta Flack,Tonight I Celebrate My Love
999,Peaches & Herb,Reunited
2006,Pearl Jam,Last Kiss
4293,Pebbles,Giving You the Benefit
430,Pee Wee Hunt,12th Street Rag
1729,Pee Wee King,Slow Poke
858,Peggy Lee,Manana (Is Soon Enough For Me)
1765,Penny McLean,Lady Bump
121,Percy Faith,Theme From 'A Summer Place'
685,Percy Sledge,When a Man Loves a Woman
426,Perez Prado,Cherry Pink & Apple Blossom White
456,Perry Como,Don't Let the Stars Get in Your Eyes
2409,Perry Como & The Fontane Sisters,'A' You're Adorable (the Alphabet Song)
2055,Peter & Gordon,A World Without Love
3608,Peter Andre,Mysterious Girl
4422,Peter Bjorn & John,Young Folks
1044,Peter Cetera,Glory of Love
4135,Peter Cetera & Amy Grant,The Next Time I Fall
4265,Peter Cetera & Cher,After All
1517,Peter Frampton,Show Me the Way
410,Peter Gabriel,Sledgehammer
4368,Peter Maffay,Du
2545,Peter Sarstedt,Where Do You Go to My Lovely?
1475,Peter Schilling,Major Tom (Coming Home)
2503,"Peter, Paul & Mary","Leaving, on a Jet Plane"
147,Petula Clark,Downtown
2038,Pharrell Williams,Happy
127,Phil Collins,Another Day in Paradise
2159,Phil Collins & Marilyn Martin,Separate Lives
806,Phil Harris,The Thing
3220,Phil Phillips,Sea of Love
1572,Philip Bailey & Phil Collins,Easy Lover
2179,Pilot,Magic
2203,Pinetop Smith,Pinetop's Boogie Woogie
144,Pink,So What
1178,Pink & Nate Ruess,Just Give Me a Reason
3394,Pink & William Orbit,Feel Good Time
8,Pink Floyd,Another Brick in the Wall (part 2)
4125,Pipkins,Gimme Dat Ding
1174,Pitbull,I Know You Want Me (calle Ocho)
4094,Pitbull & Ke$ha,Timber
490,"Pitbull, Ne-Yo, Afrojack & Nayer",Give Me Everything
540,Plain White T's,Hey There Delilah
2681,Plastic Bertrand,Ca Plane Pour Moi
1509,Player,Baby Come Back
1330,PM Dawn,Set Adrift On a Memory of Bliss
3436,POD,Youth of the Nation
2985,Poison,Unskinny Bop
893,Pop Tops,Mammy Blue
2097,Poppy Family,Which Way You Goin' Billy?
4226,Power Station,Some Like it Hot
576,Pras Michel,Ghetto Supastar (That is What You Are)
106,Prince,When Doves Cry
19,Procol Harum,A Whiter Shade of Pale
2018,Pseudo Echo,Funkytown
670,Psy,Gangnam Style
4972,Puddle of Mudd,Blurry
725,Pussycat,Mississippi
4014,Quad City DJs,C'Mon Ride the Train
1598,Quarterflash,Harden My Heart
46,Queen,Bohemian Rhapsody
1696,Queen & David Bowie,Under Pressure
4853,Queensryche,Silent Lucidity
2326,Question Mark & The Mysterians,96 Tears
172,R Kelly,I Believe I Can Fly
2786,Racey,Some Girls
2217,Radiohead,Creep
4113,Ralph Tresvant,Sensitivity
3060,Ram Jam,Black Betty
4563,Ramsey Lewis Trio,The 'in' Crowd
4299,Randy Newman,Short People
2857,Randy Vanwarmer,Just When I Needed You Most
4672,Rare Bird,Sympathy
2417,Rare Earth,Get Ready
1256,Rasmus,In the Shadows
2825,Ray Anthony,Dragnet
137,Ray Charles,I Can't Stop Loving You
3801,Ray Conniff,Somewhere My Love
4773,Ray J & Yung Berg,Sexy Can I
2356,Ray Noble,Linda
531,Ray Parker Jr,Ghostbusters
3324,Ray Parker Jr & Raydio,A Woman Needs Love (Just Like You Do)
4920,Ray Peterson,Tell Laura I Love Her
2194,Ray Stevens,Everything is Beautiful
4457,"Ray, Goodman & Brown",Special Lady
3843,Raydio,Jack & Jill
3631,RB Greaves,Take a Letter Maria
3873,Real Life,Send Me an Angel
2053,Red Foley,Chattanoogie Shoe-Shine Boy
454,Red Hot Chili Peppers,Under the Bridge
3736,Redbone,Witch Queen of New Orleans
292,Rednex,Cotton Eye Joe
2813,Reel 2 Real,I Like to Move It
1221,Regina Belle & Peabo Bryson,A Whole New World (Aladdin's Theme)
319,REM,Losing My Religion
4036,Renee & Renato,Save Your Love
965,REO Speedwagon,Keep On Loving You
4385,Rhythm Heritage,Theme from 'SWAT'
1861,Richard Harris,MacArthur Park
441,Richard Marx,Right Here Waiting
2715,Richard Sanderson,Reality
150,Rick Astley,Never Gonna Give You Up
1472,Rick Dees & his Cast of Idiots,Disco Duck
3879,Rick James,Super Freak
1683,Rick Springfield,Jessie's Girl
3693,Rickie Lee Jones,Chuck E's in Love
69,Ricky Martin,Livin' La Vida Loca
1786,Ricky Martin & Christina Aguilera,Nobody Wants to Be Lonely
659,Ricky Nelson,Hello Mary Lou
4282,Righeira,Vamos a la playa
473,Right Said Fred,I'm Too Sexy
270,Rihanna,Don't Stop the Music
66,Rihanna & Calvin Harris,We Found Love
22,Rihanna & Jay-Z,Umbrella
4459,Rihanna & Mikky Ekko,Stay
690,Ringo Starr,Photograph
4338,Rita Coolidge,We're All Alone
4955,Rita Ora,How We Do (Party)
4584,Ritchie Family,The Best Disco in Town
1508,Ritchie Valens,Donna
2130,Rob Thomas,Lonely No More
97,Rob Thomas & Santana,Smooth
1548,Robbie Nevil,C'est La Vie
1191,Robbie Williams,Rock DJ
1794,Robbie Williams & Nicole Kidman,Somethin' Stupid
2251,Robert John,Sad Eyes
4345,Robert Johnson,Cross Road Blues
326,Robert Miles,Children
913,Robert Palmer,Addicted to Love
3915,Robert Palmer & UB40,I'll Be Your Baby Tonight
189,Roberta Flack,Killing Me Softly With His Song
2489,Roberta Flack & Donny Hathaway,The Closer I Get To You
1838,Robin Beck,First Time
2102,Robin Gibb,Saved By the Bell
1607,Robin S,Show Me Love
526,"Robin Thicke, T.I. & Pharrell Williams",Blurred Lines
2816,Robyn,Show Me Love
300,Rocco Granata,Marina
1072,Rockwell,Somebody's Watching Me
2416,Rocky Burnett,Tired of Toein' The Line
217,Rod Stewart,Maggie May
1459,Roger Miller,King of the Road
3172,Roger Whittaker,The Last Farewell
3673,Roger Williams,Autumn Leaves (Les Feuilles Mortes)
2176,Ronan Keating,When You Say Nothing At All
4205,Ronnie Hilton,No Other Love
776,Rose Royce,Car Wash
573,Rosemary Clooney,Hey There
212,Roxette,It Must Have Been Love
3139,Roxy Music,Love is the Drug
2164,Roy Acuff,Wabash Cannonball
36,Roy Orbison,"Oh, Pretty Woman"
1630,Royal Guardsmen,Snoopy Vs the Red Baron
3927,Rozalla,Everybody's Free (To Feel Good)
2266,Ruby & The Romantics,Our Day Will Come
4175,Ruby Murray,Softly Softly
1966,Rudy Vallee & his Connecticut Yankees,As Time Goes By
4161,Rufus Thomas,Walkin' the Dog
1206,Run DMC & Aerosmith,Walk This Way
606,Run DMC & Jason Nevins,It's Like That
2122,Rupert Holmes,Escape (The Pina Colada Song)
3988,Russ Conway,Roulette
2382,Russ Morgan,Cruising Down the River
2594,Ruth Etting,Ten Cents a Dance
3048,Ryan Paris,Dolce Vita
2128,S Club 7,Don't Stop Movin'
4039,Sabrina,Boys (Summertime Love)
2106,Sade,Smooth Operator
3669,Sailor,A Glass of Champagne
1858,Salt-N-Pepa,Let's Talk About Sex
1781,Salt-N-Pepa & En Vogue,Whatta Man
3932,Salvatore Adamo,Inch'Allah (se Sio vuole)
2060,Sam & Dave,Soul Man
2940,Sam Brown,Stop
805,Sam Cooke,Wonderful World
3962,Sam Smith,Stay With Me
332,Sam The Sham & The Pharaohs,Wooly Bully
1467,Samantha Fox,Touch Me (I Want Your Body)
1834,Samantha Mumba,Gotta Tell You
1436,Samantha Sang,Emotion
2236,Sammy Davis Jr,Candy Man
1108,Sammy Kaye,Daddy
1636,Sandi Thom,I Wish I Was A Punk Rocker (With Flowers In My Hair)
694,Sandie Shaw,Puppet On a String
1286,Sandra,(I'll Never Be) Maria Magdalena
4870,Sandy Nelson,Let There Be Drums
664,Santa Esmerelda,Don't Let Me Be Misunderstood
423,Santana,Maria Maria
1331,Santana & Michelle Branch,The Game of Love
2314,Santo & Johnny,Sleep Walk
760,Sara Bareilles,Love Song
1625,Sarah Brightman & Andrea Bocelli,Time to Say Goodbye (Con Te Partiro)
2227,Sarah McLachlan,Angel
3497,Sash!,Encore Une Fois
206,Savage Garden,Truly Madly Deeply
351,Scatman John,Scatman (Ski-Ba-Bop-Ba-Dop-Bop)
2690,Scooter,The Logical Song
321,Scott McKenzie,San Francisco (Wear Some Flowers in Your Hair)
271,Seal,Kiss From a Rose
4190,Seals & Crofts,Summer Breeze
105,Sean Kingston,Beautiful Girls
749,Sean Paul,Temperature
2966,Seduction,Two To Make It Right
3369,Seether & Amy Lee,Broken
3877,September,Cry For You
4407,Sergio Mendes & The Black Eyed Peas,Mas Que Nada
2641,S-Express,Theme From 'SExpress'
247,Shaggy,Boombastic
297,Shaggy & Ricardo 'RikRok' Ducent,It Wasn't Me
2475,Shai,If I Ever Fall in Love
1031,Shakespear's Sister,Stay
2002,Shakin' Stevens,Oh Julie
72,Shakira,"Whenever, Wherever"
1669,Shakira & Freshly Ground,Waka Waka (This Time For Africa)
52,Shakira & Wyclef Jean,Hips don't lie
4215,Shalamar,The Second Time Around
4106,Shamen,Ebeneezer Goode
517,Shania Twain,You're Still the One
1448,Shanice,I Love Your Smile
3626,Shannon,Let the Music Play
3027,Shaun Cassidy,Da Doo Ron Ron (When He Walked Me Home)
3991,Shawn Colvin,Sunny Came Home
3986,Shawn Mullins,Lullaby
4394,Sheb Wooley,Purple People Eater
703,Sheena Easton,Morning Train (Nine to Five)
4596,Sheila E,A Love Bizarre
2348,Shelley Fabares,Johnny Angel
3699,Shep & the Limelites,Daddy's Home
3649,Shep Fields & his Rippling Rhythm Orchestra,South of the Border (Down Mexico Way)
2541,Sherbet,Howzat
291,Sheryl Crow,All I Wanna Do
791,Shirley & Company,"Shame, Shame, Shame"
1983,Shirley Bassey,Goldfinger
4010,Shirley Temple,On The Good Ship Lollipop
92,Shocking Blue,Venus
4315,Shontelle,Impossible
4186,Showaddywaddy,Under the Moon of Love
1815,Silk,Freak Me
4829,Silvana Mangano,Anna (The Baion)
753,Silver Convention,Fly Robin Fly
134,Simon & Garfunkel,Bridge Over Troubled Water
821,Simple Minds,Don't You (Forget About Me)
4437,Simple Plan,Welcome to My Life
910,Simply Red,If You Don't Know Me By Now
3,Sinead O'Connor,Nothing Compares 2 U
994,Singing Nun (Soeur Sourire),Dominique
3283,Sir Douglas Quintet,Mendocino
2040,Sir Mix-a-Lot,Baby Got Back
1423,Sisqo,Thong Song
956,Sister Sledge,We Are Family
415,Sixpence None The Richer,Kiss Me
4966,Skee-Lo,I Wish
1947,Skeeter Davis,The End of the World
4242,Skid Row,18 & Life
4515,Skyliners,Since I Don't Have You
3008,Slade,"Skweeze Me, Pleeze Me"
2860,Slim Whitman,Rose Marie
838,Sly & The Family Stone,Family Affair
3922,Sly Fox,Let's Go All the Way
1890,Smash Mouth,All Star
1149,Smokey Robinson,Tears of a Clown
2493,Smokey Robinson & The Miracles,Shop Around
861,Smokie,Living Next Door to Alice
395,Snap,Rhythm is a Dancer
4669,Sniff & The Tears,Driver's Seat
2578,Snoop Dogg,What's My Name?
1294,Snoop Dogg & Charlie Wilson & Justin Timberlake,Signs
688,Snoop Dogg & Pharrell Williams,Drop it Like It's Hot
4096,Snoop Dogg & Wiz Khalifa & Bruno Mars,Young Wild Free
117,Snow,Informer
2110,Snow Patrol,Chasing Cars
295,Soft Cell,Tainted Love
1439,Sonique,It Feels So Good
879,Sonny & Cher,I Got You Babe
3950,Sonny James,Young Love
2473,Sophie B Hawkins,"Damn, I Wish I Was Your Lover"
2549,Sophie Ellis-Bextor,Murder On the Dancefloor
2124,Sophie Tucker,Some of These Days
3724,SOS Band,Take Your Time (Do it Right)
663,Soul Asylum,Runaway Train
3221,Soul For Real,Candy Rain
1181,Soul II Soul,Back to Life (However Do You Want Me)
3385,Soul II Soul & Caron Wheeler,Keep On Moving
4303,Soulful Dynamics,Mademoiselle Ninette
2970,Soulja Boy,Crank That (soulja Boy)
4120,Soundgarden,Black Hole Sun
2209,Sousa's Band,Stars & Stripes Forever
1679,Space,Magic Fly
1069,Spandau Ballet,TRUE
1726,Spencer Davis Group,Gimme Some Lovin'
35,Spice Girls,Wannabe
1667,Spike Jones,All I Want For Christmas is my Two Front Teeth
1311,Spiller & Sophie Ellis-Bextor,Groovejet (If This Ain't Love)
3005,Split Enz,I Got You
3910,Stacey Q,Two Of Hearts
1999,Stacie Orrico,Stuck
1435,Staff Sergeant Barry Sadler,Ballad of the Green Berets
3310,Staind,It's Been Awhile
2374,Stan Freberg,St George & the Dragonette
2152,Stan Getz & Charlie Byrd,Desafinado (Slightly Out Of Tune)
1587,Stan Getz & Joao Gilberto,The Girl From Ipanema
3156,Stan Kenton,Artistry in Rhythm
2313,Stardust,Music Sounds Better With You
1556,Starland Vocal Band,Afternoon Delight
182,Starsound,Stars On 45
2432,Status Quo,Down Down
1583,Stealer's Wheel,Stuck in the Middle With You
1095,Steam,Na Na Hey Hey (Kiss Him Goodbye)
3190,Steely Dan,Rikki Don't Lose That Number
2574,Stephanie Mills,Never Knew Love Like This Before
820,Steppenwolf,Born to Be Wild
2682,Steve Harley & Cockney Rebel,Make Me Smile (Come Up & See Me)
3604,Steve Lawrence,Go Away Little Girl
208,Steve Miller Band,Abracadabra
3768,Steve Perry,Oh Sherrie
908,Steve Winwood,Higher Love
1179,Stevie B,Because I Love You (The Postman Song)
4546,Stevie Nicks & Tom Petty,Stop Draggin' My Heart Around
41,Stevie Wonder,I Just Called to Say I Love You
3562,Stevie Wonder & The Jackson 5,You Haven't Done Nothin'
1409,Sting,If I Ever Lose My Faith in You
2278,Sting & Cheb Mami,Desert Rose
4871,Stonewall Jackson,Waterloo
1546,Stories,Brother Louie
3515,Strawberry Alarm Clock,Incense & Peppermints
2228,String-A-Longs,Wheels
1266,Styx,Babe
3657,Sue Thompson,Norman
4733,Suede,Trash
1151,Sugar Ray,Every Morning
3502,Sugar Ray & Supercat,Fly
935,Sugarhill Gang,Rapper's Delight
3503,Sugarloaf,Green-eyed Lady
1240,Supertramp,The Logical Song
3650,Surface,The First Time
38,Survivor,Eye of the Tiger
3406,Sutherland Brothers & Quiver,Arms of Mary
1681,Suzanne Vega,Luka
1045,Suzi Quatro,Can the Can
4352,Sweet Sensation,Sad Sweet Dreamer
2294,Sweetbox,Everything's Gonna Be Alright
4260,Swing Out Sister,Am I the Same Girl
3407,Swinging Blue Jeans,Hippy Hippy Shake
2680,SWV,Weak
1830,Sylvers,Boogie Fever
4532,Sylvester,You Make Me Feel (Mighty Real)
4962,Sylvia Vanderpool,Pillow Talk
1127,T Rex,Get it On
119,t.A.T.u.,All the Things She Said
2216,T.I.,Whatever You Like
2206,T.I. & Justin Timberlake,Dead & Gone
1245,T.I. & Rihanna,Live Your Life
1276,Tab Hunter,Young Love
1507,Taco,Puttin' on the Ritz
1565,Tag Team,Whoomp! (There it Is)
392,Taio Cruz,Dynamite
1070,Taio Cruz & Ludacris,Break Your Heart
122,Take That,Back For Good
4210,Talking Heads,Road to Nowhere
1680,Tammy Wynette,Stand By Your Man
1872,Tasmin Archer,Sleeping Satellite
2013,Tavares,Heaven Must Be Missing an Angel
1425,Taylor Dayne,Tell it to My Heart
1773,Taylor Swift,We Are Never Ever Getting Back Together
4101,T-Bone Walker Quintet,Stormy Monday
3668,Teach-In,Ding-A-Dong
275,Tears For Fears,Shout
4579,Technohead,I Wanna Be a Hippy
889,Technotronic,Get Up (Before the Night is Over)
3269,Ted Lewis & his Orchestra,Just a Gigolo
1691,Ted Weems,Heartaches
1940,Tee Set,Ma belle amie
4359,Ten Sharp,You
197,Tennessee Ernie Ford,Sixteen Tons
1046,Terence Trent D'Arby,Wishing Well
298,Teresa Brewer,(Put Another Nickel In) Music! Music! Music!
3473,Terror Squad,Lean Back
83,Terry Jacks,Seasons in the Sun
3317,Terry Stafford,Suspicion
4483,Tevin Campbell,Tell Me What You Want Me To Do
1327,Tex Williams & The Western Caravan,Smoke! Smoke! Smoke! (That Cigarette)
3952,Texas,Say What You Want
2523,The Alan Parsons Project,Eye in the Sky
3479,The Allisons,Are You Sure?
4042,The Allman Brothers Band,Ramblin' Man
1195,The Ames Brothers,You You You
322,The Andrews Sisters,Rum & Coca-Cola
2519,The Angels,My Boyfriend's Back
193,The Animals,House of the Rising Sun
553,The B52s,Love Shack
185,The Backstreet Boys,I Want it That Way
261,The Bangles,Walk Like an Egyptian
1876,The Bay City Rollers,Saturday Night
190,The Beach Boys,Good Vibrations
2165,The Beastie Boys,Intergalactic
6,The Beatles,Hey Jude
55,The Black Eyed Peas,Where is the Love?
1242,The Boomtown Rats,I Don't Like Mondays
429,The Box Tops,The Letter
934,The Browns,The Three Bells (Les Trois Cloches)
3313,The Buckinghams,Kind of a Drag
310,The Byrds,Mr Tambourine Man
4424,The Caesars,Jerk it Out
1152,The Calling,Wherever You Will Go
769,The Cardigans,Lovefool
1290,The Cars,Drive
2729,The Carter Family,Wildwood Flower
2437,The Chemical Brothers,Galvanize
1766,The Chiffons,He's So Fine
3218,The Chi-Lites,Oh Girl
216,The Chordettes,Mister Sandman
2288,The Clash,Rock the Casbah
1984,The Coasters,Yakety Yak
504,The Commodores,Three Times a Lady
2514,The Communards,Don't Leave Me This Way
1917,The Corrs,Breathless
1287,The Cowsills,Hair
1056,The Cranberries,Zombie
278,The Crew-Cuts,Sh-Boom (Life Could Be a Dream)
1904,The Crystals,Then He Kissed Me
2746,The Cure,"Friday, I'm in Love"
2707,The Darkness,I Believe in a Thing Called Love
4085,The Del Vikings,Come Go With Me
4376,The Delfonics,La La La (Means I Love You)
1898,The Detroit Spinners,Working My Way Back to You
771,The Diamonds,Little Darlin'
3841,The Dixie Chicks,Not Ready To Make Nice
724,The Doobie Brothers,What a Fool Believes
457,The Doors,Light My Fire
4409,The Dovells,Bristol Stomp
463,The Drifters,Save the Last Dance For Me
1818,The Easybeats,Friday On My Mind
984,The Emotions,Best of My Love
3114,The Equals,Baby Come Back
1617,The Escape Club,Wild Wild West
460,The Eurythmics,Sweet Dreams (Are Made of This)
339,The Everly Brothers,Cathy's Clown
794,The Fireballs,Sugar Shack
1840,The Flamingos,I Only Have Eyes For You
2094,The Fleetwoods,Mr Blue
1755,The Floaters,Float On
3471,The Flying Pickets,Only You
4468,The Fontane Sisters,Heart of Stone
3268,The Foo Fighters,Best of You
3404,The Fortunes,You've Got Your Troubles
835,The Foundations,Build Me Up Buttercup
4364,The Four Knights,I Get So Lonely (When I Dream About You)
437,The Four Seasons,December 1963 (Oh What a Night)
546,The Four Tops,Reach Out (I'll Be There)
640,The Fray,How to Save a Life
88,The Fugees,Killing Me Softly With His Song
2605,The Game & 50 Cent,Hate it Or Love It
4727,The Gaylords,The Little Shoemaker
2795,The Go Gos,We Got The Beat
327,The Goo Goo Dolls,Iris
3183,The Heights,How Do You Talk To An Angel
739,The Hollies,The Air That I Breathe
2249,The Honeycombs,Have I the Right
3245,The Honeydrippers,Sea of Love
3558,The Housemartins,Caravan of Love
149,The Human League,Don't You Want Me
3496,The Imperials,Tears On My Pillow
1121,The Ink Spots,"We Three (My Echo, My Shadow & Me)"
2808,The Isley Brothers,Twist & Shout
803,The Jackson 5,I Want You Back
