position,artist,name
1990,Celine Dion & Peabo Bryson,Beauty & the Beast
1513,Celine Dion & R Kelly,I'm Your Angel
1157,Chad Kroeger,The Hero
3742,Chairman of The Board,Give Me Just a Little More Time
834,Chaka Khan,I Feel For You
4316,Champaign,How 'bout Us
538,Champs,Tequila
3415,Chantays,Pipeline
1364,Charlene,I've Never Been to Me
953,Charles & Eddie,Would I Lie to You?
4423,Charles Aznavour,She
4090,Charley Patton,Pony Blues
3498,Charlie Daniels Band,The Devil Went Down to Georgia
4607,Charlie Gracie,Butterfly
1557,Charlie Rich,The Most Beautiful Girl
3698,Chauncy Olcott,When Irish Eyes Are Smiling
1860,Cheap Trick,The Flame
15,Cher,Believe
4469,Cheryl Lynn,Got To Be Real
1725,Chesney Hawkes,The One & Only
120,Chic,Le Freak
124,Chicago,If You Leave Me Now
2587,Chicory Tip,Son of My Father
2419,Chingy,Right Thurr
3581,Chords,Sh-Boom (Life Could Be a Dream)
1807,Chris Andrews,Yesterday Man
1079,Chris Barber's Jazz Band,Petite Fleur (Little Flower)
1004,Chris Brown,Forever
777,Chris Brown & Juelz Santana,Run It
1204,Chris Brown & T-Pain,Kiss Kiss
4893,Chris Cornell,You Know My Name
516,Chris de Burgh,The Lady in Red
1458,Chris Isaak,Wicked Game
583,Chris Montez,Let's Dance
1637,Chris Norman & Suzi Quatro,Stumblin' In
3134,Chris Rea,Fool (If You Think It's Over)
698,Christie,Yellow River
237,Christina Aguilera,Genie in a Bottle
1767,Christina Aguilera & Redman,Dirrty
112,"Christina Aguilera, Lil' Kim, Mya & Pink",Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?)
2453,Christina Milian,Dip it Low
3755,Christina Perri,Jar Of Hearts
2487,Christophe,Aline
720,Christopher Cross,Arthur's Theme (Best That You Can Do)
70,Chubby Checker,The Twist
686,Chuck Berry,Johnny B Goode
256,Chumbawamba,Tubthumping
3656,Ciara & Ludacris,Oh
1351,Ciara & Missy 'Misdemeanor' Elliot,1-2 Step
1487,Ciara & Petey Pablo,Goodies
4066,Cilla Black,You're My World
3442,City High,What Would You Do?
2451,Clarence Carter,Patches
2753,Clarence 'Frogman' Henry,I Don't Know Why (But I Do)
4295,Claude King,Wolverton Mountain
1316,Cliff Edwards (Ukelele Ike),When You Wish Upon a Star
649,Cliff Richard,We Don't Talk Anymore
2610,Cliff Richard & The Young Ones,Living Doll
3189,Climax,Precious & Few
4117,Climie Fisher,Love Changes Everything
3909,Clint Holmes,Playground In My Mind
1173,Clout,Substitute
1154,Club Nouveau,Lean On Me
4292,Cobra Starship,Good Girls Go Bad
1008,Colbie Caillat,Bubbly
446,Coldplay,Viva La Vida
4717,Cole Porter,You're the Top
1698,Coleman Hawkins,Body & Soul
706,Color Me Badd,I Wanna Sex You Up
4581,Connells,'74-'75
909,Connie Francis,Who's Sorry Now?
2591,Conny Froboess,Zwei kleine Italiener
1323,Contours,Do You Love Me?
626,Conway Twitty,It's Only Make Believe
11,Coolio,Gangsta's Paradise
1515,Coolio & 40 Thevz,C U When U Get There
4002,Corinne Bailey Rae,Put Your Records On
4782,Cornelius Brothers & Sister Rose,Too Late To Turn Back Now
4346,Cornershop,Brimful of Asha
1811,Corona,Rhythm of the Night
1289,Count Basie,One O'Clock Jump
1441,Counting Crows,Mr Jones
4712,Cover Girls,Wishing On a Star
2154,Craig David,Walking Away
1375,Craig Douglas,Only Sixteen
478,Crash Test Dummies,Mmm Mmm Mmm Mmm
498,Crazy Frog,Axel F
918,Crazy Town,Butterfly
1223,Crazy World of Arthur Brown,Fire
1699,Cream,White Room
2995,Creed,With Arms Wide Open
475,Creedence Clearwater Revival,Proud Mary
2204,Crispian St Peters,Pied Piper
4020,"Crosby, Stills, Nash & Young",Ohio
988,Crowded House,Don't Dream It's Over
2279,Crystal Gayle,Don't it Make My Brown Eyes Blue
998,Crystal Waters,Gypsy Woman (La Da Dee)
268,Culture Beat,Mr Vain
84,Culture Club,Karma Chameleon
2590,Curtis Mayfield,Superfly
4649,Cut 'N' Move,Give it Up
1126,Cutting Crew,(I Just) Died in Your Arms Tonight
195,Cyndi Lauper,Girls Just Wanna Have Fun
4378,Cyrkle,Red Rubber Ball
2883,D:Ream,He Loves U Not
524,D12,My Band
3118,Daddy Yankee,Gasolina
1832,Daft Punk,One More Time
1640,Daft Punk & Pharrell Williams,Get Lucky
2736,Dale & Grace,I'm Leaving it (All) Up to You
4572,Damn Yankees,High Enough
3159,Dan Hartman,I Can Dream About You
3399,Dan Hill,Sometimes When We Touch
3042,Dana,All Kinds of Everything
2983,Daniel Bedingfield,Gotta Get Thru This
612,Daniel Boone,Beautiful Sunday
262,Daniel Powter,Bad Day
1192,Danny & The Juniors,At the Hop
4439,Danny Mirror,I Remember Elvis Presley (The King is Dead)
3397,Dante Thomas,Miss California
1713,Danyel Gerard,Butterfly
4153,Dario G,Sunchyme
2323,Darude,Sandstorm
3452,Daughtry,It's Not Over
4588,Dave & Ansil Collins,Double Barrel
2205,Dave Brubeck,Take Five
1886,Dave Clark Five,Glad All Over
3440,"Dave Dee, Dozy, Beaky, Mick & Tich",Legend of Xanadu
1230,Dave Edmunds,I Hear You Knockin'
4406,David A Stewart,Lily Was Here
2562,David A Stewart & Barbara Gaskin,It's My Party
232,David Bowie,Let's Dance
1087,David Bowie & Mick Jagger,Dancing in the Street
